Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	180913_Top16_70_Blank_Pos	180913_Top16_70_fads2_Adr_G_1_Pos	180913_Top16_70_fads2_Adr_G_2_Pos	180913_Top16_70_fads2_Adr_G_3_Pos	180913_Top16_70_WT_Adr_G_1_Pos	180913_Top16_70_WT_Adr_G_2_Pos	180913_Top16_70_WT_Adr_G_3_Pos
1179	1.564	407.28046	ST 24:1;O5	[M-H]-	similar chromatogram in higher mz_1448; found in higher mz's MsMs_1456	0.429	TRUE	2.78	407.2803	C24H40O5	BileAcid	BHQCQFFYRZLCQQ-OELDTZBJSA-N	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	Lipid assigned	TRUE	TRUE	TRUE		FALSE	null	null	91.7	62	91.3	92.5	100	81.54	180913_Top16_70_fads2_Adr_G_2_Neg	407.28046:9434 408.28381:5806 409.28717:1298	95.03821:9 95.04368:34 112.98224:17 121.06239:17 123.0704:17 165.1275:17 193.15204:34 195.16867:47 199.89899:7 205.15572:34 207.17131:26 215.13681:34 217.15115:26 221.16835:17 231.17302:17 233.18594:43 235.1689:17 249.1783:26 251.18573:26 251.19685:66 257.16867:17 258.99805:7 271.17398:9 271.19476:26 273.21234:17 287.19049:34 287.20477:26 289.21414:236 301.22037:17 309.21463:52 311.22769:9 315.21866:17 323.22894:34 325.24915:76 327.24008:17 327.26291:119 333.27756:17 341.24319:66 343.25388:307 344.18985:17 345.27304:188 351.23203:34 353.24286:56 355.21188:17 359.26196:17 361.26099:34 363.28159:26 369.23434:26 371.25006:57 387.25592:17 389.25928:55 405.24655:26 405.2522:48 406.00351:26 407.27325:3913 407.56763:17	7	81	9434	9	845	2567	280
1497	7.084	479.31561	ST 28:1;O;S	[M-H]-		0.143	TRUE	7.18	479.32	C28H48O4S	SSulfate	NNLNVKVMYKIRMN-UHFFFAOYNA-N	CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OS(O)(=O)=O	Lipid assigned	TRUE	TRUE	TRUE		FALSE	null	null	100	99.7	49	75	100	26.47	180913_Top16_70_fads2_Adr_G_2_Neg	479.31561:566 480.31896:466 481.32232:254	96.95593:34 247.04123:15 288.88394:15 323.29068:34 419.32245:17 479.29105:17 479.31866:86	16	385	566	388	285	297	233
3229	13.012	742.66467	Cer 18:0;3O/24:0;(2OH)	[M+CH3COO]-		0.143	TRUE	13.08	742.6566	C42H85NO5	Cer-AP	ZFUXWVVVWGWGPQ-UHFFFAOYNA-N	CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.9	71.8	84.8	100	74.43	180913_Top16_70_WT_Adr_G_1_Neg	742.66467:1293 743.66802:1645 744.67138:750	255.21466:17 279.22195:17 281.23148:34 383.34256:52 424.38596:17 438.384:34 454.41901:15 680.44855:17 682.62329:455 682.71484:34 742.50604:17 742.53662:52	16	509	356	201	1293	299	258
3621	13.452	798.72137	Cer 22:0;3O/24:0;(2OH)	[M+CH3COO]-		0.143	TRUE	13.49	798.7192	C46H93NO5	Cer-AP	UTXOYKRBIFRASG-UHFFFAOYNA-N	CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCCCCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	100	74	87.8	100	190.95	180913_Top16_70_WT_Adr_G_1_Neg	798.72137:1718 799.72472:2306 800.72808:688	283.25528:17 309.26501:17 323.28546:52 335.27594:17 337.33594:34 382.3602:34 383.33429:69 383.37:34 411.37408:52 426.36429:34 426.39322:52 438.37222:34 438.39572:52 452.41226:17 466.41614:52 720.66193:34 736.34351:52 738.68958:1169 739.66943:34 798.65979:34	36	328	93	68	1718	179	83
3810	13.671	826.74701	Cer 22:0;3O/26:0;(2OH)	[M+CH3COO]-		0.143	TRUE	13.63	826.7506	C48H97NO5	Cer-AP	YFBAYAMDBBINPH-UHFFFAOYNA-N	CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCCCCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.9	59.4	92	100	63.21	180913_Top16_70_WT_Adr_G_1_Neg	826.74701:755 827.75036:1314 828.75372:374	259.23837:7 279.22894:9 303.21075:9 305.05722:17 311.28564:17 328.99133:9 339.31696:7 365.36508:17 372.98511:9 376.0437:7 383.32602:9 383.34799:17 400.3923:7 410.3848:17 411.37119:43 411.39395:26 423.06085:7 436.37784:9 443.04434:7 452.4003:9 454.42191:17 458.90216:7 460.97739:9 466.41003:26 474.75464:7 520.07898:7 551.00397:7 607.00739:7 640.96686:7 702.6488:7 722.67365:9 722.67743:9 744.55176:7 761.04285:7 764.31158:17 766.61243:17 766.71338:313 767.69611:17 770.74158:9 780.78772:7 826.59473:9	14	140	46	20	755	113	38
3062	12.766	722.62512	Cer 18:1;2O/24:1;(2OH)	[M+CH3COO]-		0.429	TRUE	12.75	722.6304	C42H81NO4	Cer-AS	PYGVPCBXCGQXNA-SZHIUZGGNA-N	CCCCCCCCCCCCC\C=C\C(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	100	62.3	85.8	100	79.21	180913_Top16_70_fads2_Adr_G_2_Neg	722.62512:1637 723.62847:1423 724.63183:1571	89.02348:52 250.24951:15 267.22644:52 280.22321:17 283.25739:17 297.23303:17 317.20197:15 335.32187:69 363.31967:34 366.36533:34 381.33218:34 406.31781:17 406.36023:52 422.34833:34 544.48193:15 614.55188:52 632.56873:34 632.604:34 642.61829:17 644.59991:34 646.60248:52 656.41034:15 660.49829:34 662.59033:438 662.68781:34	3	1088	1637	2092	1045	543	677
3298	13.327	752.67371	Cer 20:1;2O/24:0;(2OH)	[M+CH3COO]-		0.286	TRUE	13.35	752.6774	C44H87NO4	Cer-AS	ZEHOOLFQJBPFJO-BSKJHSHCNA-N	CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	100	13	86.7	100	99.95	180913_Top16_70_WT_Adr_G_1_Neg	752.67371:2067 753.67706:2719 754.68042:3823	89.01959:94 268.27316:34 296.284:34 298.2691:52 337.31802:17 363.32281:17 365.38132:52 370.14688:15 383.36737:17 388.74045:34 408.37323:34 415.29166:17 426.42233:15 436.40146:52 452.40048:52 644.61505:52 644.64355:34 660.6181:34 662.62012:34 672.95923:17 674.63739:52 692.60376:173 692.64435:844 692.74768:52	123	760	235	267	2067	328	206
4358	14.176	942.8302	Cer 41:3;3O(FA 16:1)	[M+CH3COO]-		0.143	TRUE	13.52	942.8131	C57H105NO5	Cer-EOS	ZRVZVEHEJMFLGV-FTYSAOLSNA-N	CCCCCCCCCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCCCC	Chain semi-resolved	TRUE	TRUE	TRUE		FALSE	null	null	96.4	87.1	39.2	81.6	100	40.25	180913_Top16_70_fads2_Adr_G_2_Neg	942.8302:780 943.83355:872 944.83691:477	88.00109:9 198.14529:2 253.21133:294 254.43123:11 255.22595:359 256.22839:11 256.76746:6 258.19638:6 267.2291:6 279.22675:11 281.241:103 282.25082:6 644.57587:6 646.60333:9 882.81348:19 942.74487:11 942.84821:23	4	295	780	204	442	50	203
3297	13.104	752.67371	Cer 26:0;2O/18:1;O	[M+CH3COO]-	adduct linked to 3296_[M-H]-	0.857	TRUE	13.26	752.6774	C44H87NO4	Cer-HDS	YENFMISLLMYKHR-PEZBUJJGNA-N	CCCCCCCCCCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.3	51.7	79	100	110.03	180913_Top16_70_WT_Adr_G_1_Neg	752.67371:1641 753.67706:2471 754.68042:1094	245.74687:17 253.20468:34 267.22455:34 279.21274:17 279.22678:86 307.25848:34 333.27365:15 390.35144:17 392.14893:34 392.38501:86 394.3988:98 395.37698:52 406.35519:17 408.36765:52 410.39642:34 420.40295:109 423.43045:17 434.39417:17 436.40448:113 438.43121:52 448.40948:34 462.42108:15 642.6051:34 644.61523:69 648.60919:94 656.6629:34 660.62189:34 662.59143:86 662.6311:173 690.47235:52 692.57074:51 692.64087:855 693.6488:34 752.54437:34	47	1287	872	809	1641	928	557
3505	13.305	780.70648	Cer 28:0;2O/18:1;O	[M+CH3COO]-		0.143	TRUE	13.43	780.7087	C46H91NO4	Cer-HDS	ZNHQVMFCKSFDEJ-PEZBUJJGNA-N	CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	99.6	99.5	8.1	76.7	100	87.72	180913_Top16_70_WT_Adr_G_1_Neg	780.70648:1056 781.70983:1913 782.71319:556	267.22229:17 279.21045:34 325.26813:34 394.37662:17 420.39731:17 420.41168:52 422.43265:34 436.4075:17 448.43628:52 452.43649:15 464.42273:34 474.46481:15 629.47333:34 630.51172:52 672.62128:17 672.65765:52 688.67169:34 690.65674:155 690.68994:150 718.39417:34 720.54956:52 720.57971:68 720.63239:149 720.68134:545 780.58075:34	69	260	74	76	1056	135	76
